date,articleNo,title,type,deposit,rent,area_m2,floor,address,realtor,postedYmd,updatedYmd,link
"20250810","2541875195","일반원룸","원룸","300","66","16.7","5/7","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2541875195"
"20250810","2540099392","일반원룸","원룸","1,000","35","16.5","7/9","","네모부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2540099392"
"20250810","2542058999","일반원룸","원룸","1,000","49","20.14","2/5","","홈즈공인중개사사무소","","","https://m.land.naver.com/article/info/2542058999"
"20250810","2540058825","도시형생활주택","원룸","1,000","43","14.91","중/13","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540058825"
"20250810","2542017385","일반원룸","원룸","4,000","50","35.2","8/9","","삼성공인중개사사무소","","","https://m.land.naver.com/article/info/2542017385"
"20250810","2542051809","일반원룸","원룸","500","40","18.51","중/7","","도원공인중개사사무소","","","https://m.land.naver.com/article/info/2542051809"
"20250810","2542023749","일반원룸","원룸","500","38","19.84","8/9","","THE로드공인중개사사무소","","","https://m.land.naver.com/article/info/2542023749"
"20250810","2540058840","도시형생활주택","원룸","8,200","30","19.9","고/13","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540058840"
"20250810","2540058751","일반원룸","원룸","2,000","47","18.18","중/3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540058751"
"20250810","2541670462","일반원룸","원룸","3,000","40","19.6","2/7","","현대공인중개사사무소","","","https://m.land.naver.com/article/info/2541670462"
"20250810","2540174484","일반원룸","원룸","2,000","47","18","중/3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540174484"
"20250810","2540058762","일반원룸","원룸","2,000","47","18.18","중/3","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540058762"
"20250810","2541773352","일반원룸","원룸","500","45","18","6/9","","주식회사건국21세기부동산중개법인","","","https://m.land.naver.com/article/info/2541773352"
"20250810","2541830446","일반원룸","원룸","500","37","13.22","B1/3","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2541830446"
"20250810","2539765144","일반원룸","원룸","2,000","60","18.84","2/12","","다올공인중개사사무소","","","https://m.land.naver.com/article/info/2539765144"
"20250810","2540059129","일반원룸","원룸","3,000","17","18.18","중/9","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2540059129"
"20250810","2539737045","일반원룸","원룸","1,000","40","19.83","3/3","","신정뉴타운부동산중개인사무소","","","https://m.land.naver.com/article/info/2539737045"
"20250810","2539752740","기타","원룸","1,000","65","18.84","2/12","","코끼리부동산공인중개사사무소","","","https://m.land.naver.com/article/info/2539752740"
"20250810","2539786120","도시형생활주택","원룸","1,000","43","14.91","5/13","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2539786120"
"20250810","2539729011","일반원룸","원룸","2,000","60","18.84","저/12","","래미안복덕방부동산중개","","","https://m.land.naver.com/article/info/2539729011"
"20250810","2539743285","일반원룸","원룸","2,000","47","16.52","1/3","","히트공인중개사사무소","","","https://m.land.naver.com/article/info/2539743285"
"20250810","2539782485","일반원룸","원룸","2,000","47","16.5","1/3","","더좋은와이하우스부동산공인","","","https://m.land.naver.com/article/info/2539782485"
